#	marketplace	コイン名	grade	year	country	material	BL(円)	BL(USD)	想定利益(円)	ROI%	Yahoo参照価格	参照日	証跡状況	marketing_status	比較タイプ	URL
76	Heritage Auctions	Danzig: Free City gold 25 Gulden 1930 MS65 PCGS		1930	Danzig	gold	195009	1300.1	35590	16.2	284000		PRICE_OVER_BL	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/danzig/danzig-free-city-gold-25-gulden-1930-ms65-pcgs-/a/61607-24013.s
77	Heritage Auctions	Danzig: Free City gold 25 Gulden 1930 MS65 PCGS,	MS65	1930	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/danzig/danzig-free-city-gold-25-gulden-1930-ms65-pcgs-/a/61607-24014.s?ic4=ListView-ShortDescription-071515
78	Heritage Auctions	Danzig: Free City gold 25 Gulden 1930 MS66 NGC,	MS66	1930	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/danzig/danzig-free-city-gold-25-gulden-1930-ms66-ngc-/a/61607-24012.s?ic4=ListView-ShortDescription-071515
79	Heritage Auctions	Danzig: Free City gold 25 Gulden 1930 MS65 PCGS,	MS65	1930	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/danzig/danzig-free-city-gold-25-gulden-1930-ms65-pcgs-/a/61607-24016.s?ic4=ListView-ShortDescription-071515
80	Heritage Auctions	Poland: Danzig. Sigismund III gold Restrike 5 Duca	PR69	1614	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/poland/poland-danzig-sigismund-iii-gold-restrike-5-ducat-1614-1996-pr69-ultra-cameo-ngc-/a/61607-24019.s?ic4=ListView-ShortDescription-071515
81	Heritage Auctions	Poland: Danzig. Sigismund III gold Restrike 5 Duca	PR69	1614	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/poland/poland-danzig-sigismund-iii-gold-restrike-5-ducat-1614-1996-pr69-ultra-cameo-ngc-/a/61607-24020.s?ic4=ListView-ShortDescription-071515
82	Heritage Auctions	Danzig: Free City gold 25 Gulden 1930 MS66 NGC		1930	Danzig	gold	195009	1300.1	35590	16.2	284000		PRICE_OVER_BL	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/danzig/danzig-free-city-gold-25-gulden-1930-ms66-ngc-/a/61607-24012.s
83	Noble Numismatics	Great Britain, George III, gold half guinea, fifth		1788	GB	gold	166147	1107.7	29987	15.9	485000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/571
84	Heritage Auctions	Poland: Danzig. Johann II Casimir gold Ducat 1660-	AU55	1660	UNKNOWN	gold	150500	1003.3	26950	15.8	220000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/poland/poland-danzig-johann-ii-casimir-gold-ducat-1660-dl-au55-pcgs-/a/61607-24023.s?ic4=ListView-ShortDescription-071515
85	Heritage Auctions	Poland: Danzig. Johann Casimir gold Ducat 1658-DL 	AU55	1658	UNKNOWN	gold	150500	1003.3	26950	15.8	220000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/poland/poland-danzig-johann-casimir-gold-ducat-1658-dl-au55-pcgs-/a/61607-24022.s?ic4=ListView-ShortDescription-071515
86	Noble	Spain, Joseph Napoleon, gold eighty reales, 1809 M		1809	Spain	gold	156063	1040.4	28030	15.8	228000		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/2019
87	Heritage Auctions	Poland: Danzig. Johann Casimir gold Ducat 1657-DL 	AU50	1657	UNKNOWN	gold	150500	1003.3	26950	15.8	220000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/poland/poland-danzig-johann-casimir-gold-ducat-1657-dl-au50-pcgs-/a/61607-24021.s?ic4=ListView-ShortDescription-071515
88	Noble	Turkey, Ataturk, bullion 100 kurush, 1923/35. Unci		1923	Turkey	gold	136451	909.7	24223	15.6	199800		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/2031
89	Noble Numismatics	Switzerland, Confederation, twenty francs, 1898B. 		1898	Switzerland	gold	135200	901.3	23980	15.5	198000		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/n.php?p=lot&sid=10505&lot=2023
90	eBay	RUSSIA 1842-СПБ-АЧ NICHOLAS I 5 ROUBLES GOLD IN HI		1842	UNKNOWN	gold	117674	784.5	20578	15.2	172800	2025-04-27	PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.ebay.com/itm/267628555522?_skw=PCGS+gold+graded&hash=item3e4fe7ad02:g:oQQAAeSw-YFpz6-o
